,id,type_id,sub_type_id,fixture_id,player_id,related_player_id,period_id,participant_id,addition,minute,sort_order,Unnamed: 0
2151,88033908,10,,11867438,2875858.0,,3370692,18,Goal Confirmed,51,1,2151
2166,88033630,10,,11867469,3139.0,,3370754,18,,20,1,2166
2169,88033520,10,,11867479,1316.0,,3370775,18,Goal Disallowed,56,1,2169
2174,88033527,10,,11867479,798.0,,3370775,18,Goal Disallowed,77,1,2174
2176,88033481,10,,11867488,798.0,,3370792,18,Goal Confirmed,16,1,2176
2178,88033484,10,,11867488,97664.0,,3370793,6,,52,1,2178
2182,88033362,10,,11867496,1029.0,,3370809,52,Goal Confirmed,58,1,2182
2303,88033912,10,,11867437,971.0,,3370689,9,Goal Confirmed,19,1,2303
2306,88033927,10,,11867437,62879.0,,3370690,15,,90,1,2306
2309,88033803,10,,11867447,61780.0,,3370710,78,,47,1,2309
2314,88033815,10,,11867447,95776.0,,3370710,78,,90,1,2314
2327,88033656,10,,11867466,1869.0,,3370748,52,Goal Confirmed,45,1,2327
2329,88033534,10,,11867477,25776.0,,3370770,6,,45,1,2329
2330,88033533,10,,11867477,25776.0,,3370770,6,,42,1,2330
2346,88033239,10,,11867510,10601.0,,3370837,42,,61,1,2346
2449,88033820,10,,11867444,1461.0,,3370703,8,Goal Confirmed,38,1,2449
2451,88012165,10,,11997346,97664.0,,3576261,6,,30,1,2451
2456,88033722,10,,11867454,2144.0,,3370724,25,,60,1,2456
2457,88033723,10,,11867454,941.0,,3370724,6,,64,1,2457
2459,88033726,10,,11867454,1057.0,,3370724,25,,70,1,2459
2461,88033665,10,,11867464,581086.0,,3370744,33,,48,1,2461
2462,88033668,10,,11867464,1494663.0,,3370744,33,,69,1,2462
2464,88011242,10,,12002853,4313.0,,3580869,6,,29,1,2464
2465,88011246,10,,12002853,4313.0,,3580870,6,Goal Confirmed,59,1,2465
2468,88033565,10,,11867473,802.0,,3370762,9,,13,1,2468
2470,88033567,10,,11867473,,,3370762,9,,39,1,2470
2471,88033569,10,,11867473,802.0,,3370762,9,,41,1,2471
2482,88007545,10,,12014038,4313.0,,3592362,6,,87,1,2482
2483,88033534,10,,11867477,25776.0,,3370770,6,,45,1,2483
2484,88033533,10,,11867477,25776.0,,3370770,6,,42,1,2484
2487,88033481,10,,11867488,798.0,,3370792,18,Goal Confirmed,16,1,2487
2489,88033484,10,,11867488,97664.0,,3370793,6,,52,1,2489
2509,85961252,10,,11867229,1448.0,,3370272,27,,17,1,2509
2510,85961253,10,,11867229,3596.0,,3370272,65,,30,1,2510
2572,88033903,10,,11867438,2361.0,,3370691,27,,19,1,2572
2574,88033908,10,,11867438,2875858.0,,3370692,18,Goal Confirmed,51,1,2574
2579,88033676,10,,11867462,3300.0,,3370740,27,,68,1,2579
2580,88033679,10,,11867462,955.0,,3370740,14,,90,1,2580
2592,88033478,10,,11867484,1393.0,,3370785,65,,82,1,2592
2594,88033400,10,,11867487,6087.0,,3370790,52,Goal Disallowed,22,1,2594
2596,88033403,10,,11867487,1148.0,,3370791,27,,59,1,2596
55,85959209,10,,11886168,310131.0,,3402262,366,Goal Disallowed,39,1,55
75,88027060,10,,11886203,31000.0,,3402333,503,Goal Disallowed,64,1,75
85,88026769,10,,11886243,155470.0,,3402412,3317,Goal Disallowed,18,1,85
90,88026711,10,,11886251,32389.0,,3402428,3320,,38,1,90
103,88026676,10,,11886267,32048.0,,3402461,3317,,80,1,103
230,88026627,10,,11886280,30286.0,,3402486,503,Goal Disallowed,19,1,230
323,88026861,10,,11886226,32698.0,,3402378,2642,,34,1,323
329,88026847,10,,11886230,36681.0,,3402387,510,,47,1,329
333,88026817,10,,11886238,25317.0,,3402402,510,Goal Disallowed,41,1,333
334,88026821,10,,11886238,4343.0,,3402403,510,,50,1,334
337,88026825,10,,11886238,84342.0,,3402403,2726,,59,1,337
350,88026567,10,,11886278,35192.0,,3402483,90,Goal Disallowed,68,1,350
358,88026542,10,,11886283,31626.0,,3402493,510,,81,1,358
407,85959326,10,,11886112,31550.0,,3402151,3321,,72,1,407
461,88026913,10,,11886228,538034.0,,3402383,68,Goal Disallowed,54,1,461
480,88026555,10,,11886282,31344.0,,3402491,3321,,56,1,480
493,88026320,10,,11886310,214996.0,,3402546,3321,,10,1,493
526,85959248,10,,11886132,114021.0,,3402190,3543,Goal Disallowed,21,1,526
597,88026582,10,,11886273,35364.0,,3402473,3543,Goal Disallowed,90,1,597
603,88026533,10,,11886286,30950.0,,3402499,3543,Goal Disallowed,90,1,603
632,117481832,10,,11886110,32185.0,,3402146,68,Goal Disallowed,35,1,632
662,88027008,10,,11886206,32185.0,,3402339,68,,71,1,662
666,88027020,10,,11886210,30922.0,,3402346,68,,13,1,666
667,88027022,10,,11886210,30372.0,,3402346,68,,30,1,667
671,88026913,10,,11886228,538034.0,,3402383,68,Goal Disallowed,54,1,671
694,88026542,10,,11886283,31626.0,,3402493,510,,81,1,694
741,85959248,10,,11886132,114021.0,,3402190,3543,Goal Disallowed,21,1,741
819,88026676,10,,11886267,32048.0,,3402461,3317,,80,1,819
830,88026533,10,,11886286,30950.0,,3402499,3543,Goal Disallowed,90,1,830
937,88027020,10,,11886210,30922.0,,3402346,68,,13,1,937
938,88027022,10,,11886210,30372.0,,3402346,68,,30,1,938
944,88026800,10,,11886242,32652.0,,3402411,3320,Goal Disallowed,47,1,944
948,88026711,10,,11886251,32389.0,,3402428,3320,,38,1,948
973,88026469,10,,11886295,4536574.0,,3402516,3320,,25,1,973
977,88026473,10,,11886295,3862700.0,,3402516,2726,Goal Disallowed,43,1,977
982,88026485,10,,11886295,24280.0,,3402517,3320,,76,1,982
987,88026393,10,,11886306,31769.0,,3402539,3320,,72,1,987
1069,88026982,10,,11886209,31000.0,,3402344,503,Goal Disallowed,38,1,1069
1089,88026594,10,,11886270,,,3402467,2726,Goal Disallowed,67,1,1089
1188,88026878,10,,11886227,31000.0,,3402381,503,,55,1,1188
1206,88026582,10,,11886273,35364.0,,3402473,3543,Goal Disallowed,90,1,1206
1220,88026393,10,,11886306,31769.0,,3402539,3320,,72,1,1220
1301,88027008,10,,11886206,32185.0,,3402339,68,,71,1,1301
1335,88026567,10,,11886278,35192.0,,3402483,90,Goal Disallowed,68,1,1335
1370,85959298,10,,11886085,32538.0,,3402096,683,,41,1,1370
1374,85959317,10,,11886085,99000.0,,3402097,683,,88,1,1374
1450,88026938,10,,11886221,63034.0,,3402369,1092,Goal Disallowed,52,1,1450
1453,88026947,10,,11886221,31254.0,,3402369,366,,90,1,1453
1455,88026847,10,,11886230,36681.0,,3402387,510,,47,1,1455
1473,88026648,10,,11886268,96950.0,,3402463,794,,62,1,1473
1491,88026292,10,,11886313,32122.0,,3402552,1092,Goal Disallowed,20,1,1491
1518,85959298,10,,11886085,32538.0,,3402096,683,,41,1,1518
1522,85959317,10,,11886085,99000.0,,3402097,683,,88,1,1522
