,id,country_id,city_id,name,address,zipcode,latitude,longitude,capacity,image_path,city_name,surface,national_team
207,142,251.0,91001.0,Stadio Olimpico Grande Torino,"Corso Sebastopoli 123, Santa Rita",,45.0677551,7.6824892,36599.0,https://cdn.sportmonks.com/images/soccer/venues/14/142.png,Torino,grass,False
208,193,251.0,8530.0,Gewiss Stadium,Bergamo,,45.708889,9.680833,26393.0,https://cdn.sportmonks.com/images/soccer/venues/1/193.png,Bergamo,grass,False
209,443,251.0,94537.0,Stadio Marc'Antonio Bentegodi,Piazzale Olimpia,,45.435356,10.968647,39045.0,https://cdn.sportmonks.com/images/soccer/venues/27/443.png,Verona,grass,False
210,787,251.0,58912.0,U-Power Stadium,Via Franco Tognini,,45.5834418,9.2735257,18568.0,https://cdn.sportmonks.com/images/soccer/venues/19/787.png,Monza,grass,False
211,1613,251.0,73668.0,MAPEI Stadium - Città del Tricolore,"Piazza Azzuri d'Italia, 1",,44.714722,10.649722,21584.0,https://cdn.sportmonks.com/images/soccer/venues/13/1613.png,Reggio Emilia,grass,False
212,1721,251.0,57165.0,Stadio Giuseppe Meazza,"Piazzale Angelo Moratti, 20151",,45.478056,9.123889,80018.0,https://cdn.sportmonks.com/images/soccer/venues/25/1721.png,Milano,grass,False
213,5026,251.0,78323.0,Stadio Arechi,Via Salvador Allende,,44.977778,7.616111,37180.0,https://cdn.sportmonks.com/images/soccer/venues/2/5026.png,Salerno,grass,False
214,5047,251.0,49313.0,Stadio Comunale Via del Mare,Viale dello Stadio,,38.919716,16.587840,40800.0,https://cdn.sportmonks.com/images/soccer/venues/23/5047.png,Lecce,grass,False
215,5515,251.0,10632.0,Stadio Renato Dall'Ara,"Via Andrea Costa, 174",,44.492314,11.309667,38279.0,https://cdn.sportmonks.com/images/soccer/venues/11/5515.png,Bologna,grass,False
216,7189,251.0,75333.0,Stadio Olimpico,Viale dello Stadio Olimpico Rome,,1.481513,103.61912,72698.0,,Roma,grass,False
217,7220,251.0,26843.0,Stadio Carlo Castellani,Viale delle Olimpiadi,,43.7194884,10.9458556,16284.0,https://cdn.sportmonks.com/images/soccer/venues/20/7220.png,Empoli,grass,False
218,7223,251.0,29168.0,Stadio Artemio Franchi,Viale Manfredo Fanti 14,,43.7492999,11.2385374,43147.0,https://cdn.sportmonks.com/images/soccer/venues/23/7223.png,Firenze,grass,False
219,7224,251.0,92619.0,Dacia Arena,"Piazza le Repubblica Argentina, 3",,46.081603,13.200136,25132.0,https://cdn.sportmonks.com/images/soccer/venues/24/7224.png,Udine,grass,False
220,19085,251.0,80550.0,Stadio Enzo Ricci,Piazza Risorgimento,,45.478025,9.124206,80018.0,,Sassuolo,grass,False
221,102653,,,Centro Sportivo Novarello - Villaggio Azzurro,,,45.706434,8.833022,,,Granozzo con Monticello,,False
222,118500,251.0,91001.0,Allianz Stadium,Strada Comunale di Altessano 131,,44.977778,7.616111,400.0,https://cdn.sportmonks.com/images/soccer/venues/4/118500.png,Torino,grass,False
223,145449,251.0,30345.0,Stadio Benito Stirpe,Viale Olimpia,,41.634167,13.321944,16227.0,https://cdn.sportmonks.com/images/soccer/venues/9/145449.png,Frosinone,grass,False
224,160319,251.0,14002.0,Sardegna Arena,Via Raimondo Carta Raspi,,39.2171994,9.113311,16416.0,,Cagliari,grass,False
225,1480,227.0,44053.0,Arena Khimki,"ul. Kirova, dom 24",,55.885300,37.454200,18636.0,https://cdn.sportmonks.com/images/soccer/venues/8/1480.png,Khimki,grass,False
226,1573,227.0,46109.0,Stadion FK Krasnodar,ul. Vostochno-Kruglikovskaya 126,,45.0352718,38.9764814,31654.0,,Krasnodar,grass,False
